Category,Category Type,Nominee,Movie,Description
Best Picture,Easy,All Quiet on the Western Front,All Quiet on the Western Front,
Best Picture,Easy,Avatar: The Way of Water,Avatar: The Way of Water,
Best Picture,Easy,The Banshees of Inisherin,The Banshees of Inisherin,
Best Picture,Easy,Elvis,Elvis,
Best Picture,Easy,Everything Everywhere All at Once,Everything Everywhere All at Once,
Best Picture,Easy,The Fabelmans,The Fabelmans,
Best Picture,Easy,Tár,Tár,
Best Picture,Easy,Top Gun: Maverick,Top Gun: Maverick,
Best Picture,Easy,Triangle of Sadness,Triangle of Sadness,
Best Picture,Easy,Women Talking,Women Talking,
Best Director,Easy,Martin McDonagh,The Banshees of Inisherin,
Best Director,Easy,Daniel Kwan and Daniel Scheinert,Everything Everywhere All at Once,
Best Director,Easy,Steven Spielberg,The Fabelmans,
Best Director,Easy,Todd Field,Tár,
Best Director,Easy,Ruben Östlund,Triangle of Sadness,
Best Actor,Easy,Austin Butler,Elvis,as Elvis Presley
Best Actor,Easy,Colin Farrell,The Banshees of Inisherin,as Pádraic Súilleabháin
Best Actor,Easy,Brendan Fraser,The Whale,as Charlie
Best Actor,Easy,Paul Mescal,Aftersun,as Calum Paterson
Best Actor,Easy,Bill Nighy,Living,as Mr. Rodney Williams
Best Actress,Easy,Cate Blanchett,Tár,as Lydia Tár
Best Actress,Easy,Ana de Armas,Blonde,as  Norma Jeane Mortensen / Marilyn Monroe
Best Actress,Easy,Andrea Riseborough,To Leslie,as Leslie Rowlands
Best Actress,Easy,Michelle Williams,The Fabelmans,as Mitzi Schildkraut-Fabelman
Best Actress,Easy,Michelle Yeoh,Everything Everywhere All at Once,as Evelyn Quan Wang
Best Supporting Actor,Medium,Brendan Gleeson,The Banshees of Inisherin,as Colm Doherty
Best Supporting Actor,Medium,Brian Tyree Henry,Causeway,as James Aucoin
Best Supporting Actor,Medium,Judd Hirsch,The Fabelmans,as Boris Schildkraut
Best Supporting Actor,Medium,Barry Keoghan,The Banshees of Inisherin,as Dominic Kearney
Best Supporting Actor,Medium,Ke Huy Quan,Everything Everywhere All at Once,as Waymond Wang
Best Supporting Actress,Medium,Angela Bassett,Black Panther: Wakanda Forever,as  Queen Ramonda
Best Supporting Actress,Medium,Hong Chau,The Whale,as Liz
Best Supporting Actress,Medium,Kerry Condon,The Banshees of Inisherin,as Siobhán Súilleabháin
Best Supporting Actress,Medium,Jamie Lee Curtis,Everything Everywhere All at Once,as Deirdre Beaubeirdre
Best Supporting Actress,Medium,Stephanie Hsu,Everything Everywhere All at Once,as Joy Wang / Jobu Tupaki
Best Original Screenplay,Medium,The Banshees of Inisherin,The Banshees of Inisherin,Martin McDonagh
Best Original Screenplay,Medium,Everything Everywhere All at Once,Everything Everywhere All at Once,Daniel Kwan and Daniel Scheinert
Best Original Screenplay,Medium,The Fabelmans,The Fabelmans,Steven Spielberg and Tony Kushner
Best Original Screenplay,Medium,Tár,Tár,Todd Field
Best Original Screenplay,Medium,Triangle of Sadness,Triangle of Sadness,Ruben Östlund
Best Adapted Screenplay,Medium,All Quiet on the Western Front,All Quiet on the Western Front,"Edward Berger, Lesley Paterson, and Ian Stokell; based on the novel by Erich Maria Remarque"
Best Adapted Screenplay,Medium,Glass Onion: A Knives Out Mystery,Glass Onion: A Knives Out Mystery,Rian Johnson; based on characters created by Johnson and the film Knives Out
Best Adapted Screenplay,Medium,Living,Living,"Kazuo Ishiguro; based on the original motion picture screenplay Ikiru by Akira Kurosawa, Shinobu Hashimoto, and Hideo Oguni"
Best Adapted Screenplay,Medium,Top Gun: Maverick,Top Gun: Maverick,"Ehren Kruger, Eric Warren Singer, and Christopher McQuarrie; Story by Peter Craig and Justin Marks; based on the film Top Gun written by Jim Cash and Jack Epps Jr."
Best Adapted Screenplay,Medium,Women Talking,Women Talking,Sarah Polley; based on the novel by Miriam Toews
Best Animated Feature Film,Medium,Guillermo del Toro's Pinocchio,Guillermo del Toro's Pinocchio,"Guillermo del Toro, Mark Gustafson, Gary Ungar, and Alex Bulkley"
Best Animated Feature Film,Medium,Marcel the Shell with Shoes On,Marcel the Shell with Shoes On,"Dean Fleischer Camp, Elisabeth Holm, Andrew Goldman, Caroline Kaplan, and Paul Mezey"
Best Animated Feature Film,Medium,Puss in Boots: The Last Wish,Puss in Boots: The Last Wish,Joel Crawford and Mark Swift
Best Animated Feature Film,Medium,The Sea Beast,The Sea Beast,Chris Williams and Jed Schlanger
Best Animated Feature Film,Medium,Turning Red,Turning Red,Domee Shi and Lindsey Collins
Best International Feature Film,Hard,All Quiet on the Western Front (Germany) ,All Quiet on the Western Front,directed by Edward Berger
Best International Feature Film,Hard,"Argentina, 1985 (Argentina) ","Argentina, 1985",directed by Santiago Mitre
Best International Feature Film,Hard,Close (Belgium) ,Close,directed by Lukas Dhont
Best International Feature Film,Hard,EO (Poland) ,EO,directed by Jerzy Skolimowski
Best International Feature Film,Hard,The Quiet Girl (Ireland),The Quiet Girl,directed by Colm Bairéad
