Category,Category Type,Nominee,Movie,Description
Best Documentary Feature,Hard,All That Breathes,All That Breathes,"Shaunak Sen, Aman Mann, and Teddy Leifer"
Best Documentary Feature,Hard,All the Beauty and the Bloodshed,All the Beauty and the Bloodshed,"Laura Poitras, Howard Gertler, John Lyons, Nan Goldin, and Yoni Golijov"
Best Documentary Feature,Hard,Fire of Love,Fire of Love,"Sara Dosa, Shane Boris, and Ina Fichman"
Best Documentary Feature,Hard,A House Made of Splinters,A House Made of Splinters,Simon Lereng Wilmont and Monica Hellström
Best Documentary Feature,Hard,Navalny,Navalny,"Daniel Roher, Odessa Rae, Diane Becker, Melanie Miller, and Shane Boris"
Best Documentary Short Subject,Hard,The Elephant Whisperers,The Elephant Whisperers,Kartiki Gonsalves and Guneet Monga
Best Documentary Short Subject,Hard,Haulout,Haulout,Evgenia Arbugaeva and Maxim Arbugaev
Best Documentary Short Subject,Hard,How Do You Measure a Year?,How Do You Measure a Year?,Jay Rosenblatt
Best Documentary Short Subject,Hard,The Martha Mitchell Effect,The Martha Mitchell Effect,Anne Alvergue and Beth Levison
Best Documentary Short Subject,Hard,Stranger at the Gate,Stranger at the Gate,Joshua Seftel and Conall Jones
Best Live Action Short Film,Hard,An Irish Goodbye,An Irish Goodbye,Tom Berkely and Ross White
Best Live Action Short Film,Hard,Ivalu,Ivalu,Anders Walter and Rebecca Pruzan
Best Live Action Short Film,Hard,Le pupille,Le pupille, Alice Rohrwacher and Alfonso Cuarón
Best Live Action Short Film,Hard,Night Ride,Night Ride,Eirik Tveiten and Gaute Lid Larssen
Best Live Action Short Film,Hard,The Red Suitcase,The Red Suitcase,Cyrus Neshvad
Best Animated Short Film,Hard,"The Boy, the Mole, the Fox and the Horse","The Boy, the Mole, the Fox and the Horse", Charlie Mackesy and Matthew Freud
Best Animated Short Film,Hard,The Flying Sailor,The Flying Sailor, Wendy Tilby and Amanda Forbis
Best Animated Short Film,Hard,Ice Merchants,Ice Merchants,João Gonzalez and Bruno Caetano
Best Animated Short Film,Hard,My Year of Dicks,My Year of Dicks,Sara Gunnarsdóttir and Pamela Ribon
Best Animated Short Film,Hard,An Ostrich Told Me the World Is Fake and I Think I Believe It,An Ostrich Told Me the World Is Fake and I Think I Believe It,Lachlan Pendragon
Best Original Score,Medium,All Quiet on the Western Front,All Quiet on the Western Front,Volker Bertelmann
Best Original Score,Medium,Babylon,Babylon,Justin Hurwitz
Best Original Score,Medium,The Banshees of Inisherin,The Banshees of Inisherin,Carter Burwell
Best Original Score,Medium,Everything Everywhere All at Once,Everything Everywhere All at Once,Son Lux
Best Original Score,Medium,The Fabelmans,The Fabelmans,John Williams
Best Original Song,Medium,"""Applause"" from Tell It Like a Woman ",Tell It Like a Woman,Music and lyrics by Diane Warren
Best Original Song,Medium,"""Hold My Hand"" from Top Gun: Maverick ",Top Gun: Maverick,Music and lyrics by Lady Gaga and BloodPop
Best Original Song,Medium,"""Lift Me Up"" from Black Panther: Wakanda Forever ",Black Panther: Wakanda Forever,"Music by Tems, Rihanna, Ryan Coogler, and Ludwig Göransson; Lyrics by Tems and Ryan Coogler"
Best Original Song,Medium,"""Naatu Naatu"" from RRR ",RRR,Music by M. M. Keeravani; Lyrics by Chandrabose
Best Original Song,Medium,"""This Is a Life"" from Everything Everywhere All at Once ",Everything Everywhere All at Once,"Music by Ryan Lott, David Byrne, and Mitski; Lyrics by Ryan Lott and David Byrne"
Best Sound,Medium,All Quiet on the Western Front,All Quiet on the Western Front,"Viktor Prášil, Frank Kruse, Markus Stemler, Lars Ginzel, and Stefan Korte"
Best Sound,Medium,Avatar: The Way of Water,Avatar: The Way of Water,"Julian Howarth, Gwendolyn Yates Whittle, Dick Bernstein, Christopher Boyes, Gary Summers, and Michael Hedges"
Best Sound,Medium,The Batman,The Batman,"Stuart Wilson, William Files, Douglas Murray, and Andy Nelson"
Best Sound,Medium,Elvis,Elvis,"David Lee, Wayne Pashley, Andy Nelson, and Michael Keller"
Best Sound,Medium,Top Gun: Maverick,Top Gun: Maverick,"Mark Weingarten, James H. Mather, Al Nelson, Chris Burdon, and Mark Taylor"
Best Production Design,Medium,All Quiet on the Western Front,All Quiet on the Western Front,Production Design: Christian M. Goldbeck; Set Decoration: Ernestine Hipper
Best Production Design,Medium,Avatar: The Way of Water,Avatar: The Way of Water,Production Design: Dylan Cole and Ben Procter; Set Decoration: Vanessa Cole
Best Production Design,Medium,Babylon,Babylon,Production Design: Florencia Martin; Set Decoration: Anthony Carlino
Best Production Design,Medium,Elvis,Elvis,Production Design: Catherine Martin and Karen Murphy; Set Decoration: Bev Dunn
Best Production Design,Medium,The Fabelmans,The Fabelmans,Production Design: Rick Carter; Set Decoration: Karen O'Hara
Best Cinematography,Medium,All Quiet on the Western Front,All Quiet on the Western Front,James Friend
Best Cinematography,Medium,"Bardo, False Chronicle of a Handful of Truths","Bardo, False Chronicle of a Handful of Truths",Darius Khondji
Best Cinematography,Medium,Elvis,Elvis,Mandy Walker
Best Cinematography,Medium,Empire of Light,Empire of Light,Roger Deakins
Best Cinematography,Medium,Tár,Tár,Florian Hoffmeister
Best Makeup and Hairstyling,Medium,All Quiet on the Western Front,All Quiet on the Western Front, Heike Merker and Linda Eisenhamerová
Best Makeup and Hairstyling,Medium,The Batman,The Batman," Naomi Donne, Mike Marino, and Mike Fontaine"
Best Makeup and Hairstyling,Medium,Black Panther: Wakanda Forever,Black Panther: Wakanda Forever, Camille Friend and Joel Harlow
Best Makeup and Hairstyling,Medium,Elvis,Elvis," Mark Coulier, Jason Baird, and Aldo Signoretti"
Best Makeup and Hairstyling,Medium,The Whale,The Whale," Adrien Morot, Judy Chin, and Anne Marie Bradley"
Best Costume Design,Medium,Babylon,Babylon,Mary Zophres
Best Costume Design,Medium,Black Panther: Wakanda Forever,Black Panther: Wakanda Forever,Ruth Carter
Best Costume Design,Medium,Elvis,Elvis,Catherine Martin
Best Costume Design,Medium,Everything Everywhere All at Once,Everything Everywhere All at Once,Shirley Kurata
Best Costume Design,Medium,Mrs. Harris Goes to Paris,Mrs. Harris Goes to Paris,Jenny Beavan
Best Film Editing,Medium,The Banshees of Inisherin,The Banshees of Inisherin,Mikkel E. G. Nielsen
Best Film Editing,Medium,Elvis,Elvis,Matt Villa and Jonathan Redmond
Best Film Editing,Medium,Everything Everywhere All at Once,Everything Everywhere All at Once,Paul Rogers
Best Film Editing,Medium,Tár,Tár,Monika Willi
Best Film Editing,Medium,Top Gun: Maverick,Top Gun: Maverick,Eddie Hamilton
Best Visual Effects,Medium,All Quiet on the Western Front,All Quiet on the Western Front,"Frank Petzold, Viktor Müller, Markus Frank, and Kamil Jafar"
Best Visual Effects,Medium,Avatar: The Way of Water,Avatar: The Way of Water,"Joe Letteri, Richard Baneham, Eric Saindon, and Daniel Barrett"
Best Visual Effects,Medium,The Batman,The Batman,"Dan Lemmon, Russell Earl, Anders Langlands, and Dominic Tuohy"
Best Visual Effects,Medium,Black Panther: Wakanda Forever,Black Panther: Wakanda Forever,"Geoffrey Baumann, Craig Hammack, R. Christopher White, and Dan Sudick"
Best Visual Effects,Medium,Top Gun: Maverick,Top Gun: Maverick,"Ryan Tudhope, Seth Hill, Bryan Litson, and Scott R. Fisher"
